,price,number_of_bedrooms,numberofbathrooms_per_house,total_living_area_sqft,lot_area_sqft,floors,house_condition,housing_grade,basement_area_sqft,yr_built,latitude,longitude,sqft_living15
0,221900.0,3,1.0,1180,5650,1,3,7,0,1955,47.5112,-122.257,1340
1,538000.0,3,2.25,2570,7242,2,3,7,400,1951,47.721000000000004,-122.319,1690
2,180000.0,2,1.0,770,10000,1,3,6,0,1933,47.7379,-122.23299999999999,2720
3,604000.0,4,3.0,1960,5000,1,5,7,910,1965,47.5208,-122.39299999999999,1360
4,510000.0,3,2.0,1680,8080,1,3,8,0,1987,47.6168,-122.045,1800
5,1230000.0,4,4.5,5420,101930,1,3,11,1530,2001,47.6561,-122.005,4760
6,257500.0,3,2.25,1715,6819,2,3,7,0,1995,47.3097,-122.32700000000001,2238
7,291850.0,3,1.5,1060,9711,1,3,7,0,1963,47.4095,-122.315,1650
8,229500.0,3,1.0,1780,7470,1,3,7,730,1960,47.5123,-122.337,1780
9,323000.0,3,2.5,1890,6560,2,3,7,0,2003,47.3684,-122.031,2390
10,662500.0,3,2.5,3560,9796,1,3,8,1700,1965,47.6007,-122.145,2210
11,468000.0,2,1.0,1160,6000,1,4,7,300,1942,47.69,-122.292,1330
12,310000.0,3,1.0,1430,19901,1,4,7,0,1927,47.7558,-122.229,1780
13,400000.0,3,1.75,1370,9680,1,4,7,0,1977,47.6127,-122.045,1370
14,530000.0,5,2.0,1810,4850,1,3,7,0,1900,47.67,-122.39399999999999,1360
15,650000.0,4,3.0,2950,5000,2,3,9,970,1979,47.5714,-122.375,2140
16,395000.0,3,2.0,1890,14040,2,3,7,0,1994,47.7277,-121.962,1890
17,485000.0,4,1.0,1600,4300,1,4,7,0,1916,47.6648,-122.34299999999999,1610
18,189000.0,2,1.0,1200,9850,1,4,7,0,1921,47.3089,-122.21,1060
19,230000.0,3,1.0,1250,9774,1,4,7,0,1969,47.3343,-122.306,1280
20,385000.0,4,1.75,1620,4980,1,4,7,760,1947,47.7025,-122.34100000000001,1400
22,285000.0,5,2.5,2270,6300,2,3,8,0,1995,47.3266,-122.169,2240
23,252700.0,2,1.5,1070,9643,1,3,7,0,1985,47.3533,-122.166,1220
24,329000.0,3,2.25,2450,6500,2,4,8,0,1985,47.3739,-122.17200000000001,2200
25,233000.0,3,2.0,1710,4697,1,5,6,0,1941,47.3048,-122.21799999999999,1030
26,937000.0,3,1.75,2450,2691,2,3,8,700,1915,47.6386,-122.36,1760
27,667000.0,3,1.0,1400,1581,1,5,8,0,1909,47.6221,-122.314,1860
28,438000.0,3,1.75,1520,6380,1,3,7,730,1948,47.695,-122.304,1520
29,719000.0,4,2.5,2570,7173,2,3,8,0,2005,47.7073,-122.11,2630
30,580500.0,3,2.5,2320,3980,2,3,8,0,2003,47.5391,-122.07,2580
31,280000.0,2,1.5,1190,1265,3,3,7,0,2005,47.7274,-122.35700000000001,1390
32,687500.0,4,1.75,2330,5000,1,4,7,820,1929,47.6823,-122.368,1460
33,535000.0,3,1.0,1090,3000,1,4,8,0,1929,47.6889,-122.375,1570
34,322500.0,4,2.75,2060,6659,1,3,7,780,1981,47.4276,-122.15700000000001,2020
35,696000.0,3,2.5,2300,3060,1,3,8,790,1930,47.6827,-122.31,1590
36,550000.0,4,1.0,1660,34848,1,1,5,730,1933,47.6621,-122.132,2160
37,640000.0,4,2.0,2360,6000,2,4,8,0,1904,47.6702,-122.36200000000001,1730
38,240000.0,4,1.0,1220,8075,1,2,7,330,1969,47.3341,-122.28200000000001,1290
39,605000.0,4,2.5,2620,7553,2,3,8,0,1996,47.5301,-122.18,2620
40,625000.0,4,2.5,2570,5520,2,3,9,0,2000,47.6145,-122.027,2470
41,775000.0,4,2.25,4220,24186,1,3,8,1620,1984,47.445,-122.34700000000001,2410
42,861990.0,5,2.75,3595,5639,2,3,9,0,2014,47.6848,-122.016,3625
43,685000.0,3,1.0,1570,2280,2,3,7,0,1922,47.6413,-122.36399999999999,1580
44,309000.0,3,1.0,1280,9656,1,4,6,360,1959,47.4485,-122.175,1340
45,488000.0,3,2.5,3160,13603,2,3,8,0,2003,47.7443,-121.977,3050
46,210490.0,3,1.0,990,8528,1,3,6,0,1966,47.3066,-122.37100000000001,1228
47,785000.0,4,2.5,2290,13416,2,4,9,0,1981,47.6194,-122.15100000000001,2680
48,450000.0,3,1.75,1250,5963,1,4,7,0,1953,47.6796,-122.301,970
49,1350000.0,3,2.5,2753,65005,1,5,9,588,1953,47.4041,-122.45100000000001,2680
50,228000.0,3,1.0,1190,9199,1,3,7,0,1955,47.4258,-122.322,1190
51,345000.0,5,2.5,3150,9134,1,4,8,1510,1966,47.4934,-122.189,1990
52,600000.0,3,1.75,1410,4080,1,4,7,410,1950,47.6808,-122.384,1410
53,585000.0,2,1.75,1980,8550,1,3,7,990,1981,47.6989,-122.369,1480
54,920000.0,5,2.25,2730,6000,1,3,8,600,1927,47.6571,-122.281,2730
55,885000.0,4,2.5,2830,5000,2,3,9,0,1995,47.6597,-122.29,1950
56,292500.0,4,2.5,2250,4495,2,3,7,0,2008,47.3663,-122.11399999999999,2250
57,301000.0,3,2.5,2420,4750,2,3,8,0,2003,47.3663,-122.12200000000001,2690
58,951000.0,5,3.25,3250,14342,2,4,8,0,1968,47.588,-122.116,2960
59,430000.0,4,3.0,1850,9976,2,3,8,0,1991,47.5059,-122.149,2270
60,650000.0,3,2.25,2150,21235,1,4,8,560,1959,47.4336,-122.339,2570
61,289000.0,3,1.75,1260,8400,1,3,7,0,1954,47.4366,-122.335,1290
62,505000.0,3,1.75,2519,8690,2,5,8,0,1973,47.4428,-122.344,2500
63,549000.0,3,1.75,1540,1044,3,3,8,0,2014,47.6765,-122.32,1580
64,425000.0,3,2.25,1660,6000,1,3,7,550,1979,47.6113,-122.29700000000001,1440
65,317625.0,3,2.75,2770,3809,1,5,7,1000,1925,47.5747,-122.304,1440
66,975000.0,4,2.5,2720,11049,2,3,10,0,1989,47.5815,-122.19200000000001,2750
67,287000.0,4,2.5,2240,4648,2,3,7,0,2005,47.3378,-122.257,2221
68,204000.0,3,1.0,1000,12070,1,4,7,0,1968,47.3621,-122.11,1010
69,1330000.0,5,2.25,3200,20158,1,3,8,1600,1965,47.6303,-122.215,3390
70,1040000.0,5,3.25,4770,50094,1,4,11,1700,1973,47.6525,-122.16,3530
71,325000.0,3,2.0,1260,5612,1,4,7,0,1972,47.7362,-122.179,1640
72,571000.0,4,2.0,2750,7807,1,5,7,500,1916,47.7168,-122.287,1510
73,360000.0,4,2.5,2380,5000,2,3,8,0,2005,47.3608,-122.036,2420
74,349000.0,3,1.75,1790,50529,1,5,7,700,1965,47.3511,-122.073,1940
75,832500.0,4,4.0,3430,35102,2,4,10,1040,1986,47.5822,-121.98700000000001,3240
76,380000.0,4,1.75,1760,7300,1,3,7,880,1956,47.6034,-122.125,1680
77,480000.0,3,1.0,1040,5060,1,3,7,0,1941,47.5636,-122.39399999999999,890
78,410000.0,3,1.0,1410,5060,1,4,7,500,1956,47.7073,-122.34,1130
79,720000.0,4,2.5,3450,39683,2,3,10,0,2002,47.342,-122.025,3350
80,390000.0,3,2.5,2350,5100,2,3,8,0,2003,47.3512,-122.008,2350
81,360000.0,4,2.5,1900,5889,2,3,7,0,1992,47.349,-122.031,1870
82,355000.0,2,1.0,2020,6720,1,3,7,1010,1948,47.5474,-122.291,1720
83,356000.0,3,1.5,1680,8712,1,3,8,0,1964,47.4811,-122.149,1850
